Station,Year,Month,Monthly Rainfall
Dhaka,1984,1,13
Dhaka,1984,2,1
Dhaka,1984,3,5
Dhaka,1984,4,124
Dhaka,1984,5,707
Dhaka,1984,6,637
Dhaka,1984,7,694
Dhaka,1984,8,311
Dhaka,1984,9,478
Dhaka,1984,10,58
Dhaka,1984,11,0
Dhaka,1984,12,0
Dhaka,1985,1,8
Dhaka,1985,2,1
Dhaka,1985,3,195
Dhaka,1985,4,176
Dhaka,1985,5,300
Dhaka,1985,6,399
Dhaka,1985,7,262
Dhaka,1985,8,317
Dhaka,1985,9,306
Dhaka,1985,10,79
Dhaka,1985,11,0
Dhaka,1985,12,10
Dhaka,1986,1,22
Dhaka,1986,2,0
Dhaka,1986,3,23
Dhaka,1986,4,247
Dhaka,1986,5,191
Dhaka,1986,6,304
Dhaka,1986,7,443
Dhaka,1986,8,171
Dhaka,1986,9,687
Dhaka,1986,10,237
Dhaka,1986,11,172
Dhaka,1986,12,3
Dhaka,1987,1,4
Dhaka,1987,2,0
Dhaka,1987,3,33
Dhaka,1987,4,230
Dhaka,1987,5,109
Dhaka,1987,6,316
Dhaka,1987,7,526
Dhaka,1987,8,462
Dhaka,1987,9,363
Dhaka,1987,10,104
Dhaka,1987,11,7
Dhaka,1987,12,33
Dhaka,1988,1,0
Dhaka,1988,2,44
Dhaka,1988,3,74
Dhaka,1988,4,282
Dhaka,1988,5,513
Dhaka,1988,6,580
Dhaka,1988,7,255
Dhaka,1988,8,169
Dhaka,1988,9,196
Dhaka,1988,10,213
Dhaka,1988,11,153
Dhaka,1988,12,3
Dhaka,1989,1,0
Dhaka,1989,2,32
Dhaka,1989,3,0
Dhaka,1989,4,85
Dhaka,1989,5,228
Dhaka,1989,6,319
Dhaka,1989,7,347
Dhaka,1989,8,59
Dhaka,1989,9,305
Dhaka,1989,10,240
Dhaka,1989,11,0
Dhaka,1989,12,12
Dhaka,1990,1,0
Dhaka,1990,2,36
Dhaka,1990,3,151
Dhaka,1990,4,154
Dhaka,1990,5,202
Dhaka,1990,6,229
Dhaka,1990,7,567
Dhaka,1990,8,227
Dhaka,1990,9,247
Dhaka,1990,10,181
Dhaka,1990,11,103
Dhaka,1990,12,6
Dhaka,1991,1,27
